Food Poisoning
Noise - Street/Sidewalk
HEAT/HOT WATER
Blocked Driveway
Noise
Traffic Signal Condition
Noise - Vehicle
Noise - Residential
Illegal Parking
Smoking or Vaping
Noise - Commercial
General Construction/Plumbing
Derelict Vehicles
Abandoned Vehicle
Dirty Condition
Encampment
UNSANITARY CONDITION
Litter Basket Request
Drinking
Sewer
Obstruction
Illegal Posting
Animal-Abuse
Maintenance or Facility
Illegal Dumping
Damaged Tree
Street Sign - Damaged
Water System
Non-Emergency Police Matter
Food Establishment
Street Condition
Building/Use
Consumer Complaint
Air Quality
Boilers
Residential Disposal Complaint
Noise - House of Worship
PAINT/PLASTER
Street Light Condition
PLUMBING
APPLIANCE
WATER LEAK
SAFETY
Indoor Air Quality
Graffiti
Elevator
Lead
Litter Basket Complaint
ELECTRIC
Lot Condition
DOOR/WINDOW
Green Taxi Complaint
Root/Sewer/Sidewalk Condition
Rodent
Taxi Complaint
Lost Property
Vendor Enforcement
Traffic
Urinating in Public
GENERAL
Unsanitary Animal Pvt Property
Dead Animal
ELEVATOR
Missed Collection
Sidewalk Condition
Illegal Fireworks
FLOORING/STAIRS
Drug Activity
School Maintenance
Panhandling
Sanitation Worker or Vehicle Complaint
For Hire Vehicle Complaint
Highway Condition
Special Projects Inspection Team (SPIT)
Plumbing
Emergency Response Team (ERT)
Abandoned Bike
Borough Office
Commercial Disposal Complaint
Bus Stop Shelter Complaint
Animal in a Park
Overgrown Tree/Branches
Street Sign - Dangling
Broken Parking Meter
Illegal Tree Damage
Electrical
Real Time Enforcement
Indoor Sewage
Mobile Food Vendor
Day Care
Animal Facility - No Permit
Bike/Roller/Skate Chronic
Bike Rack
Street Sign - Missing
Curb Condition
OUTSIDE BUILDING
Noise - Park
Dumpster Complaint
Asbestos
Homeless Person Assistance
Street Sweeping Complaint
Illegal Animal Kept as Pet
E-Scooter
Dead/Dying Tree
Construction Lead Dust
Taxi Report
Outdoor Dining
Uprooted Stump
Unsanitary Pigeon Condition
Water Conservation
BEST/Site Safety
Water Quality
Hazardous Materials
Industrial Waste
Unleashed Dog
Snow or Ice
For Hire Vehicle Report
Green Taxi Report
Non-Residential Heat
Noise - Helicopter
Mold
Unsanitary Animal Facility
Found Property
Illegal Animal Sold
Scaffold Safety
Wood Pile Remaining
Bus Stop Shelter Placement
Violation of Park Rules
New Tree Request
Investigations and Discipline (IAD)
Cranes and Derricks
Drinking Water
Special Natural Area District (SNAD)
Highway Sign - Damaged
Bridge Condition
Pet Shop
Recycling Basket Complaint
Beach/Pool/Sauna Complaint
Wayfinding
LinkNYC
Incorrect Data
Tattooing
Poison Ivy
Dept of Investigations
Institution Disposal Complaint
Taxi Compliment
Tobacco or Non-Tobacco Sale
Oil or Gas Spill
Plant
Window Guard
Taxi Licensee Complaint
Disorderly Youth
